012.208-0.101	012.208-0.101, [GPD88] 012.208-0.101, 
IRAS05292+1833	 V* CE Tau, * 119 Tau, AG+18 459, BD+18 875, DO 11336, GC 6841, GCRV 3354, GEN# +1.00036389, GSC 01301-00707, HD 36389, HIC 25945, HIP 25945, HR 1845, IRAS 05292+1833, IRC +20112, JP11 1123, 2MASS J05321276+1835394, PLX 1253, PMC 90-93 5888, PPM 121070, RAFGL 767, SAO 94628, SKY# 8886, TYC 1301-707-1, UBV 21346, YZ 18 1563, AAVSO 0526+18, 
IRAS05294+7225	IRAS 05294+7225, RR Cam,   
IRAS05295+1247	 NAME RNO 43MM, HHL 23, IRAS 05295+1247, NAME RNO 43 FIR, G82b 14, RHK93 5299, TRC83 15, 
IRAS05295-0458	 V* UY Ori, AN 116.1904, GSC 04774-00442, IRAS 05295-0458, 2MASS J05320030-0455539, Parenago 812, PDS 187, SV* HV 792, KSP2003 J053200.31-045554.5 
IRAS05302+3739	IRAS 05302+3739, WB89 656, 
IRAS05305+3029	IRAS 05305+3029, 2MASS J05334481+3031042, WB89 657, 
IRAS05308+3752	IRAS 05308+3752, WB89 658, 
IRAS05313+3734	IRAS 05313+3734, WB89 659, 
IRAS05327+3404	IRAS 05327+3404, NAME HOLOEA, 
IRAS05327-0457	 TUK93 1, Ced 55e, IRAS 05327-0457, MGR2000a IRAS 00494+5617 P1, 
IRAS05328+2443	 V* CQ Tau, AG+24 513, AGKR 4982, BD+24 873, GSC 01865-01798, HBC 464, HD 36910, HIC 26295, HIP 26295, IRAS 05328+2443, JP11 1173, 2MASS J05355845+2444542, PPM 94541, SAO 77299, SV* SON 3942, SV* SVS 1003, TYC 1865-1798-1, YZ 24 1810, KW97 23-33, AAVSO 0529+24, 
IRAS05329-0508	 V* V415 Ori, Andrews 6169, GEN# +9.00010662V, Haro 4-79, IRAS 05329-0508, JP11 5701, Kiso A-0976 154, 2MASS J05352187-0507018, 2MASSI J0535218-050701, NGC 1977 662, PACH 242, Parenago 1952, RAFGL 783S, TKK J05352188-0507019, TKK 703, CHS2001 9617, NCM2003 MIR 13, TKT2002 I158, 
IRAS05329-0512	 NAME OMC-2 IRS 5, Haro 4-87, IRAS 05329-0512, JW 820, Kiso A-0976 167, 2MASS J05352814-0510138, 2MASSI J0535281-051013, PACH 261, Parenago 2045, TKK J05352815-0510139, TKK 867, V* V419 Ori, AD95 2996, CHS2001 10383, GBM74 IRS 5, H97b 10665, H97b 820, JGJ90 16, JMO94 126, NCM2003 MIR 26, RHS2000 1-1262, TKT2002 I214, 
IRAS05335+3609	 IRAS 05335+3609, GAL 172.87+02.26, 2MASX J05365322+3610508, WB89 668, 
IRAS05338-0624	 NAME LDN 1641 North, IRAS 05338-0624, KMS 6, LDN 1641N, SMZ 5-14, SMZ 14, CM95 Ori A9, CTF93 8, FST86 LDN 1641 N, MB91 5, SHH97 5, TUK93 67, 
IRAS05338-0647	 CTF93 51, IRAS 05338-0647, Kiso A-0976 256, KMS 32, 
IRAS05341-0530	 IRAS 05341-0530, NAME ORION A-E, NAME ORI A-E, FST86 Ori A E, KSP2003 J053638.85-052811.3, 
IRAS05343+3605	IRAS 05343+3605, WB89 670, 
IRAS05345+3157	IRAS 05345+3157, 
IRAS05345+3556	 IRAS 05345+3556, WB89 673, 
IRAS05351-0147	 V* X Ori, AN 11.1904, EIC 101, IRAS 05351-0147, IRC +00080, 2MASS J05373866-0146166, RAFGL 786, KSP2003 J053738.65-014616.7, AAVSO 0532-01, 
IRAS05354+2458	 V* GP Tau, AAO+24 117, AG+24 524, BD+24 898, DO 11425, GSC 01865-00928, HD 37291, IRAS 05354+2458, IRC +20116, 2MASS J05383263+2500067, RAFGL 788, SV* HV 6916, TYC 1865-928-1, KW97 23-55, 
IRAS05355+3039	IRAS 05355+3039, CPM 18, 
IRAS05358+3543	IRAS 05358+3543, 
IRAS05361+3539	IRAS 05361+3539, 
IRAS05363+2454	 2MASX J05392840+2456298, GLMP 111, IRAS 05363+2454, 
IRAS05365-1404	 V* RW Lep, AN 35.1931, CSV 651, IRAS 05365-1404, IRC -10094, 2MASS J05385273-1402270, PPM 711765, RAFGL 793, PCC93 75, 
IRAS05366+3601	IRAS 05366+3601, WB89 682, 		
IRAS05367+3458	IRAS 05367+3458, WB89 683, 
IRAS05367+3736	 V* RU Aur, AN 62.1905, CSI+37-05367, GCRV 3495, HIC 26675, HIP 26675, IRAS 05367+3736, IRC +40135, 2MASS J05400790+3738106, RAFGL 794, D75 29, KW97 24-14, AAVSO 0533+37, 
IRAS05368+2841	 V* AW Aur, CSI+28-05369, GCRV 56498, IRAS 05368+2841, IRC +30123, 2MASS J05400069+2842484, PEP 18, RAFGL 5160, SV* SVS 333, D75 28, LTY2003 NIRS 05367+2839, AAVSO 0533+28, 
IRAS05369-0728	 HBC 176, CSV 2522, CSV 2525, Haro 4-255, IRAS 05369-0728, Kiso A-1048 18, Kiso A-0976 350, KMS 54, 2MASS J05392232-0726445, N3SK 93, PACH 497, CM95 Ori A14, CTF93 104, KSP2003 J053922.13-072645.1, MB91 39, SY92 51, TUH98 FC-30, TUK93 117, 
IRAS05373+2349	 WB89 685, CPM 19, IRAS 05373+2349, Mol 12, 
IRAS05375+3540	IRAS 05375+3540, 
IRAS05375-0731	 NAME LDN 1641 S3 IRS, IRAS 05375-0731, KMS 59, NAME LDN 1641 S3, CTF93 108, FST86 LDN 1641 S3, MB91 41, 
IRAS05382+3547	IRAS 05382+3547, RAFGL 5165, 
IRAS05384+3854	 V* SZ Aur, AG+38 613, AN 45.1908, CSI+38-05384, DO 11466, GCRV 56525, HD 37645, IRAS 05384+3854, IRC +40136, PPM 70729, RAFGL 802, SV* HV 3087, KW97 24-25, 
IRAS05385-0907	 IRAS 05385-0907, KMS 113, CTF93 270, 
IRAS05388+3200	 V* U Aur, AAO+32 299, BD+31 1057a, CSI+31 1057 2, GCRV 56540, GCRV 3527, GSC 02409-00081, HD 37724, IRAS 05388+3200, IRC +30126, 2MASS J05420904+3202238, RAFGL 805, KW97 24-28, PCC93 79, AAVSO 0535+31, 
IRAS05390-0409	 V* Y Ori, AN 49.1903, CSI-04-05391, GCRV 56568, IRAS 05390-0409, IRC +00082, 2MASS J05413366-0407549, RAFGL 804, KSP2003 J054133.70-040755.1 AAVSO 0536-04, 
IRAS05395+3055	IRAS 05395+3055, 
IRAS05396+3626	IRAS 05396+3626, WB89 694, 
IRAS05397+3047	IRAS 05397+3047, WB89 695, 
IRAS05411+6957	 V* BX Cam, IRAS 05411+6957, IRC +70066, NSV 2601, RAFGL 811, LFO93 0541+69, PCC93 81, 
IRAS05417+0907	 LDN 1594, IRAS 05417+0907, SFO 18, 
IRAS05423+2905	 V* V530 Aur, IRAS 05423+2905, 2MASS J05452992+2907054, NSV 16653, 
IRAS05426+0903	 V* FU Ori, AN 1.1939, BD+09 5427, CSI+09-05427, EM* CDS 535, GCRV 56621, GSC 00715-00159, HBC 186, IRAS 05426+0903, JP11 5454, JP11 5456, JP11 5455, 2MASS J05452235+0904123, NOVA Ori 1939, PDS 122, PP 43, AAVSO 0539+09, 
IRAS05426+2040	IRAS 05426+2040, Y Tau, 
IRAS05428+1215	 V* QS Ori, C* 395, CGCS 1044, GSC 00723-00588, IRAS 05428+1215, 2MASS J05453669+1216152, SV* SON 3727, ELL90 12, AAVSO 0540+12, 
IRAS05443+2707	 V* AW Tau, AN 122.1931, IRAS 05443+2707, PCC93 84, TVH89 14, 
IRAS05445+0020	 NGC 2071, Ced 55v, DG 81, IRAS 05445+0020, LBN 938, LBN 205.32-14.04, RAFGL 818, B77 101, TP72 33, 
IRAS05460-5104	 * bet Pic, CD-51 1620, CPC 0 3123, CPD-51 774, GC 7287, GCRV 3614, GEN# +1.00039060, GJ 219, GJ 219.0, GSC 08099-01392, HD 39060, HIC 27321, HIP 27321, HR 2020, IRAS 05460-5104, JP11 1271, PLX 1339, PPM 334622, ROT 934, SAO 234134, SKY# 9519, TD1 5440, TYC 8099-1392-1, UBV M 11539, UBV 5954, uvby98 100039060, DML87 189, 
IRAS05466+2316	 IRAS 05466+2316, WB89 709, 
IRAS05480+2545	IRAS 05480+2545, 
IRAS05486-2912	 V* R Col, CD-29 2538, CPD-29 1018, GCRV 3638, HD 39324, IRAS 05486-2912, IRC -30051, SV* HV 24, AAVSO 0546-29, 
IRAS05490+2658	IRAS 05490+2658, 
IRAS05491+0247	 NAME HH 111 MMS, IRAS 05491+0247, NAME HH 111-IRS, NAME HH 111 IRS, AVE98 LDN 1617 1, DME94 HH 111 IRS, RR94 HH 111 VLA 1, RYR99 Star A, RYR99 VLA 1, 
IRAS05495+1547	 V* Z Tau, AG+15 529, AN 4.1900, BD+15 962a, CSI+15 962 1, CSS 168, GCRV 56725, GSC 01312-02344, IRAS 05495+1547, 2MASS J05522485+1547438, AAVSO 0546+15A, 
IRAS05497+1557	 V* RU Tau, AN 20.1904, IRAS 05497+1557, SV* HV 728, AAVSO 0546+15C, 
IRAS05506+2414	 NAME IRAS 05506+2414 Sa, GLMP 132, IRAS 05506+2414, 2MASS J05534356+2414447, MSX5C G184.9546-00.8558, ZOAG G184.95-00.85, PCC93 86, ZPT98 184.96-00.85, 
IRAS05524+0723	 V* alf Ori, * alf Ori, * 58 Ori, ADS 4506 AP, AG+07 681, BD+07 1055, CCDM J05552+0724AP, CSI+07 1055 1, EIC 108, FK5 224, GC 7451, GCRV 3679, GEN# +1.00039801J, GSC 00129-01873, HD 39801, HIC 27989, HIP 27989, HR 2061, IRAS 05524+0723, IRC +10100, JP11 1282, 2MASS J05551028+0724255, N30 1266, NAME BETELGEUSE, PLX 1362, PMC 90-93 162, PPM 149643, RAFGL 836, SAO 113271, SKY# 9804, TD1 5587, TYC 129-1873-1, UBV 21314, YZ 7 2503, LFO93 0552+07, AAVSO 0549+07, 
IRAS05528+2010	 V* U Ori, AG+20 595, BD+20 1171a, BD+20 11711, CSI+20 1171 1, DO 11719, GC 7457, GCRV 3683, GEN# +1.00039816, HD 39816, HIC 28041, HIP 28041, HR 2063, IRAS 05528+2010, IRC +20127, 2MASS J05554916+2010306, PPM 95093, RAFGL 837, SAO 77730, SKY# 9823, KW97 25-58, LBR81 B055250.91+201006.2, PCC93 87, TVH89 15, AAVSO 0549+20A, 
IRAS05528+3208	 V* AY Aur, AAO+32 430, CSI+32-05528, GCRV 56794, IRAS 05528+3208, IRC +30132, 2MASS J05560361+3209181, SV* R 14, KW97 26-1, 
IRAS05535+4822	 V* LO Aur, IRAS 05535+4822, IRC +50154, 2MASS J05572394+4822417, RAFGL 842, SV* SON 9586, AAVSO 0549+48, 
IRAS05552+1720	 V* V1644 Ori, IRAS 05552+1720, 2MASS J05580750+1720584, MSX5C G191.4392-03.4322, NSV 16737, 
IRAS05553+1631	 WFS 6, GAL 192.16-03.84, GAL 192.16-03.82, IRAS 05553+1631, Mol 14, RAFGL 5173, WB89 724, 
IRAS05554+2013	IRAS 05554+2013, 
IRAS05559+3825	 V* V373 Aur, IRAS 05559+3825, IRC +40149, NSV 2749, RAFGL 850, LFO93 0555+38, 
IRAS05559+7430	 V* V Cam, AN 8.1902, BD+74 266a, DO 29814, GSC 04357-00683, HD 39741, IRAS 05559+7430, IRC +70067, 2MASS J06023232+7430268, RAFGL 849, TYC 4357-683-1, LFO93 0555+74, PCC93 88, AAVSO 0549+74, 
IRAS05576+3940	 V* AZ Aur, AN 397.1933, C* 433, CGCS 1128, CSI+39-05576, GCRV 3751, IRAS 05576+3940, IRC +40151, LEE 185, MSB 15, RAFGL 853, KW97 26-32, AAVSO 0554+39, 
IRAS05585+1530	IRAS 05585+1530, V340 Ori, 
IRAS05591+1630	IRAS 05591+1630, 
IRAS06001+1622	 V* RR Ori, AN 53.1908, CSI+16-06002, DO 11855, GCRV 56975, HD 250795, IRAS 06001+1622, IRC +20130, SV* HV 3095, KW97 26-43, AAVSO 0557+16, 
IRAS06001+3014	 2MASS J06032391+3014112, IRAS 06001+3014, LEDA 135933, WB89 733, ZOAG G180.83+03.99, 
IRAS06001+4617	IRAS 06001+4617, RS Aur,  
IRAS06006+3015	 IRAS 06006+3015, 
IRAS06007+4717	IRAS 06007+4717, XZ Aur, 
IRAS06011+2829	 V* BS Aur, AN 137.1931, IRAS 06011+2829, IRC +30136, RAFGL 864, AAVSO 0557+28, 
IRAS06047+2040	IRAS 06047+2040, 
IRAS06052-0533	IRAS 06052-0533, 
IRAS06053-0622	 NAME MONOCEROS R2, GAL 213.71-12.60, GRS 213.71 -12.61, IRAS 06053-0622, NAME MON-R2, NAME MON R2, PMN J0607-0623, KC97c G213.7-12.6, L89b 213.709-12.605, NZ2007 14, WBH98 06053-0622, WHR97 06053-0622, 
IRAS06055+2039	 NS84 7, IRAS 06055+2039, RAFGL 5179, WB89 749, 
IRAS06056+2131	 IRAS 06056+2131, Mol 15, RAFGL 6366S, WB89 750, 
IRAS06058+2138	 WB89 752, GAL 188.95+00.89, IRAS 06058+2138, RAFGL 5180, 
IRAS06061+2151	 WB89 755, IRAS 06061+2151, Mol 16, RAFGL 5182, 
IRAS06061+4635	 V* VY Aur, AN 21.1914, CSI+46-06061, GCRV 57073, IRAS 06061+4635, IRC +50159, AAVSO 0602+46, 
IRAS06063+2040	IRAS 06063+2040, 
IRAS06067+2138	 IRAS 06067+2138, WB89 763, 
IRAS06068+2030	IRAS 06068+2030, 
IRAS06068-0641	 IRAS 06068-0641, 
IRAS06075+1643	IRAS 06075+1643, 
IRAS06080+1233	 IRAS 06080+1233, GAL 197.14-03.10, WB89 769, PCC93 95, ZPT98 197.14-03.10, 
IRAS06083+5014	 V* X Aur, AG+50 593, AN 8.1900, BD+50 1279a, DO 30097, GCRV 3897, GSC 03383-00515, HD 42212, HIC 29441, HIP 29441, IRAS 06083+5014, 2MASS J06121334+5013406, PPM 30299, TYC 3383-515-1, AAVSO 0604+50, 
IRAS06085+4310	 V* RR Aur, AN 133.1904, CSI+43-06085, GCRV 3901, HD 42311, IRAS 06085+4310, SV* HV 866, AAVSO 0604+43, 
IRAS06088+2152	 V* TV Gem, AG+21 635, AGKR 5532, BD+21 1146, DO 11997, GC 7881, GCRV 3906, GEN# +1.00042475, GSC 01326-01733, HD 42475, HIC 29416, HIP 29416, HR 2190, IRAS 06087+2152, IRAS 06088+2152, IRC +20134, JP11 1333, 2MASS J06115141+2152055, PPM 95588, RAFGL 893, SAO 78092, SKY# 10434, TYC 1326-1733-1, YZ 21 2237, LFO93 0608+21, AAVSO 0605+21, 
IRAS06099+1800	 IC 2162, GAL 192.60-00.05, GRS 192.63 -00.02, IRAS 06095+1800, IRAS 06099+1800, LBN 859, LBN 192.63-00.02, Min 2-61, NAME SH 2-255/7, NAME SH 2-255 IRS 1, 4P 2, SH 2-255, WB89 774, BBW79 S 255 IRS 1, HPF97 IRS 1, SB86 S255 2c, T70 15, TP72 40, 
IRAS06102+1748	 HD 253445, GSC 01318-00979, IRAS 06102+1748, 2MASS J06131215+1747486, TYC 1318-979-1, 
IRAS06103-0612	IRAS 06103-0612, 
IRAS06112+4648	 IRAS 06112+4648, 
IRAS06114+1745	 LEDA 136208, IRAS 06114+1745, RAFGL 5188, WB89 781, ZOAG G192.99+00.15, 
IRAS06117+1350	 IRAS 06117+1350, WB89 782, BE83 IR 196.45-01.68, WBN74 S 269 IRS 2, 
IRAS06127+1418	 IRAS 06127+1418, WB89 784, 
IRAS06134-0102	 V* V345 Ori, IRAS 06134-0102, 
IRAS06145+1455	 ZPT98 195.82-00.57, GAL 195.82-00.57, IRAS 06145+1455, WB89 789, PCC93 103, 
IRAS06147+2243	IRAS 06147+2243, 
IRAS06148+2224	IRAS 06148+2224, 
IRAS06148+2238	IRAS 06148+2238, 
IRAS06149+2247	IRAS 06149+2247, 
IRAS06151+2236	IRAS 06151+2236, 
IRAS06155+2243	IRAS 06155+2243, 
IRAS06158+1506	 IRAS 06158+1506, GAL 195.82-00.21, WB89 793, PCC93 104, ZPT98 195.82-00.21, 
IRAS06158+1517	 V* V1308 Ori, ALS 33, CSI+15-06159, DO 12103, EM* MWC 137, FMC 15, GAL 195.65-00.10, GRS 195.64 -00.10, GSC 01315-01508, HBC 199, HBHA 1715-03, HIC 29988, HIP 29988, IRAS 06158+1517, JP11 5211, Lan 36, LF 8 +15 198, LS 33, 2MASS J06184553+1516522, NSV 2906, PK 195-00 1, PN VV' 42, PN ARO 79, RAFGL 5191, SH 2-266, WB89 794, KW97 28-21, 
IRAS06159+1514	 IRAS 06159+1514, 
IRAS06170+3523	 V* V533 Aur, IRAS 06170+3523, 2MASS J06202142+3522205, NSV 16829, 
IRAS06190+1040	IRAS 06190+1040, 
IRAS06190+7528	 V* W Cam, AN 20.1903, IRAS 06190+7528, AAVSO 0612+75, 
IRAS06192+4657	 LRS87 30, CGCS 1242, IRAS 06192+4657, LFO93 0619+46, 
IRAS06202+4743	 V* V Aur, BD+47 1291a, C* 497, CGCS 1244, CSI+47 1291 1, DO 30327, GCRV 4048, HD 44388, HIC 30449, HIP 30449, IRAS 06202+4743, LEE 289, LTT 11834, 2MASS J06240232+4742240, AAVSO 0616+47, 
IRAS06202-0210	 V* V Mon, AG-02 208, BD-02 1581, DO 1538, EIC 126, GC 8213, GCRV 4047, GEN# +1.00044639, HD 44639, HIC 30326, HIP 30326, IRAS 06202-0210, IRC +00104, 2MASS J06224357-0211434, RAFGL 925, SAO 133182, SKY# 10877, YPAC 417, KW97 28-44, AAVSO 0617-02, 
IRAS06208+0957	IRAS 06208+0957, 2MASX J06233428+0956192, 
IRAS06209+2503	 V* ZZ Gem, AN 29.1927, BD+25 1250, C* 501, CGCS 1251, DO 12161, GCRV 4057, GSC 01882-01530, HD 44653, IRAS 06209+2503, IRC +30150, LEE 190, 2MASS J06240124+2501530, SV* R 12, KW97 28-51, 
IRAS06219+2457	 V* CD Gem, IRAS 06219+2457, SV* ZI 527, AAVSO 0618+24, 
IRAS06221+5031	 V* GO Aur, GSC 03384-00832, IRAS 06221+5031, 2MASS J06260196+5029289, SV* SON 4728, AAVSO 0618+50, 
IRAS06228+2534	 IRAS 06228+2534, 
IRAS06228-0244	 V* V798 Mon, IRAS 06228-0244, 2MASS J06252164-0246379, Tmz V265, 
IRAS06229+4716	 V* GQ Aur, GSC 03380-01273, IRAS 06229+4716, 2MASS J06264284+4714231, SV* SON 4729, AAVSO 0619+47, 
IRAS06241+1025	 IRC +10123, IRAS 06241+1025, 
IRAS06250+6134	IRAS 06250+6134, V Lyn, 
IRAS06278+2729	IRAS 06278+2729, DW Gem, 
IRAS06291+0421	 IRAS 06291+0421, Mol 23, WB89 817, KSP2003 J063148.48+041930.7, KSP2003 G206.8408-02.3800, 
IRAS06297+4045	 TVH89 16, DO 12285, IRAS 06297+4045, IRC +40156, NSV 16902, OH 174.7 +13.5, RAFGL 955, LFO93 0629+40, PCC93 105, 
IRAS06300+3137	 V* AL Aur, AN 413.1928, IRAS 06300+3137, IRC +30154, 2MASS J06331735+3135304, AAVSO 0626+31, 
IRAS06300+6058	 V* AP Lyn, DO 30551, GSC 04097-01348, IRAS 06300+6058, IRC +60169, NSV 3020, RAFGL 956, StM 66, LFO93 0630+60, PCC93 106, TVH89 17, 
IRAS06304+6407	 V* RT Cam, AN 34.1906, CSI+64-06303, HD 45968, IRAS 06304+6407, IRC +60171, RAFGL 958, AAVSO 0625+64, 
IRAS06306+0437	 IRAS 06306+0437, 2MASS J06331621+0434530, WB89 828, KSP2003 J063315.91+043455.6, KSP2003 G206.7801-01.9394, 
IRAS06308+0402	 WB89 831, IRAS 06308+0402, Mol 26, RAFGL 5199, 
IRAS06318+0420	IRAS 06318+0420, 
IRAS06318+7357	 V* SU Cam, AN 87.1914, IRAS 06318+7357, AAVSO 0625+74, 
IRAS06329-0106	 IRAS 06329-0106, 
IRAS06331+1102	IRAS 06331+1102, 
IRAS06344-0124	 IRAS 06344-0124, 
IRAS06346+1444	 V* UU Gem, AN 17.1916, IRAS 06346+1444, IRC +10129, 2MASS J06372993+1442135, RAFGL 976, DB2007 53, 
IRAS06349-0121	 V* SY Mon, CSI-01-06350, EIC 143, GSC 04799-00384, HD 292010, IRAS 06349-0121, IRC +00119, RAFGL 977, SV* HV 3561, KW97 30-20, AAVSO 0632-01, 
IRAS06351-0055	 WB89 848, CPM 28, IRAS 06351-0055, 
IRAS06358+0047	IRAS 06358+0047, 
IRAS06363+5954	 V* U Lyn, AG+59 550, AN 9.1908, CSI+59-06363, GCRV 4309, IRAS 06363+5954, IRC +60172, 2MASS J06404643+5952015, PPM 30600, RAFGL 982, PCC93 109, AAVSO 0631+59, 
IRAS06369+0722	 IRAS 06369+0722, 2MASS J06393824+0719524, 
IRAS06376+4412	 V* AA Aur, AN 115.1914, CSI+44-06376, GSC 02953-01341, HD 47523, IRAS 06376+4412, 2MASS J06411289+4409593, SV* HV 3373, AAVSO 0634+44A, 
IRAS06382+1017	IRAS 06382+1017, 
IRAS06384+0932	 NAME ALLEN'S SOURCE, GAL 203.32+02.06, IRAS 06384+0932, NAME NGC 2264 IRS 1, NAME NGC 2264 IRS, NAME ALLEN IRS, RAFGL 989, WB89 863, MRC90 IRS D, RRA2004 NGC 2264 MM VLA 4, STO85 IRS 1, 
IRAS06398-0936	 V* GS Mon, IRAS 06398-0936, 2MASS J06421530-0939442, SV* SON 4034, 
IRAS06402+5757	 V* S Lyn, BD+58 961a, CSI+58 961 2, GCRV 4365, GSC 03774-01234, HD 47929, IRAS 06402+5757, IRC +60175, 2MASS J06443410+5754398, RAFGL 998, TYC 3774-1234-1, AAVSO 0635+58, 
IRAS06403-0138	 IRAS 06403-0138, 
IRAS06423+0905	IRAS 06423+0905, FX Mon 
IRAS06431+0023	IRAS 06431+0023, 
IRAS06431+1301	 V* UY Gem, AN 21.1916, IRAS 06431+1301, AAVSO 0640+13A, 
IRAS06436+1840	 V* RT Gem, AN 12.1904, C* 577, CGCS 1389, CSI+18-06437, GCRV 57979, IRAS 06436+1840, AAVSO 0640+18, 
IRAS06439+3019	 V* X Gem, AG+30 730, BD+30 1329, DO 12526, GCRV 4406, HD 48912, HIC 32512, HIP 32512, IRAS 06439+3019, IRC +30166, 2MASS J06470704+3016343, PPM 72074, RAFGL 1009, AAVSO 0640+30, 
IRAS06443+0804	 V* ST Mon, AN 14.1920, EIC 153, IRAS 06443+0804, AAVSO 0641+08, 
IRAS06473-0932	 V* GW Mon, IRAS 06473-0932, SV* SON 4039, 
IRAS06481+1608	 V* IT Gem, C* 591, CGCS 1422, IRAS 06481+1608, LEE 61, SV* SON 5441, 
IRAS06487+0517	 V* CG Mon, AN 144.1931, C* 595, Case 403, CGCS 1431, DJM 64, GSC 00156-01137, IRAS 06487+0517, Kiso C6-95, LEE 62, AAVSO 0646+05A, 
IRAS06500+0829	 V* GX Mon, CSI+08-06500, GCRV 58112, IRAS 06500+0829, IRC +10143, OH 205.6 +4.1, RAFGL 1028, SV* SON 4010, LFO93 0650+08, PCC93 113, TVH89 19, WTM81 OH 205.6+04.1, 
IRAS06516+4621	 V* CE Aur, IRAS 06516+4621, SV* HV 7666, AAVSO 0648+46, 
IRAS06520-0428	 IRAS 06520-0428, WB89 909, 
IRAS06529+0626	 V* CL Mon, AN 146.1931, C* 615, Case 409, CGCS 1465, CSI+06-06529, GCRV 4534, GSC 00161-01272, IRAS 06529+0626, IRC +10144, Kiso C6-106, LEE 65, MSB 26, RAFGL 1038, ELL90 33, KW97 34-5, LFO93 0652+06, AAVSO 0650+06, 
IRAS06530-1643	 V* DN CMa, AN 676.1936, GSC 05950-00443, GSC 06530-01643, Hetzler VII 1b, IRAS 06530-1643, 2MASS J06551745-1647526, SV* HV 8071, 
IRAS06540+1118	 V* Y Mon, AN 21.1900, BD+11 1370a, CSI+11 1370 2, DO 1841, GCRV 4557, HD 51189, IRAS 06540+1118, 2MASS J06565214+1114326, KW97 34-10, AAVSO 0651+11, 
IRAS06550-1915	 IRAS 06550-1915, LMW2001 340, 
IRAS06553+3142	 V* FW Gem, CSV 921, IRAS 06553+3142, 2MASS J06583384+3138260, SV* SON 4738, AAVSO 0652+31, 
IRAS06567-0350	IRAS 06567-0350, 
IRAS06568-1154	IRAS 06568-1154, 
IRAS06571+5524	 V* R Lyn, BD+55 1154, CSS 283, GC 9197, GCRV 4594, GEN# +1.00051610, GSC 03771-00416, HD 51610, HIC 33824, HIP 33824, IRAS 06571+5524, IRC +60179, 2MASS J07011801+5519497, RAFGL 1050, S1* 197, SAO 26097, SKY# 12555, C97 26, AAVSO 0653+55, 
IRAS06579-0432	 IRAS 06579-0432, WB89 931, 
IRAS06582+1048	 V* BI Mon, AN 87.1933, IRAS 06582+1048, AAVSO 0655+10A, 
IRAS06582-0834	 IRAS 06582-0834, 
IRAS06582-1512	 IRAS 06582-1512, 
IRAS06584+3035	IRAS 06584+3035, RS Gem, 
IRAS07006-0654	 IRAS 07006-0654, WB89 939, 
IRAS07013-1128	 V* Z CMa, BD-11 1760, CEL 1536, EM* MWC 165, FMC 22, GCRV 4640, GEN# +1.00053179, GSC 05389-01211, HBC 243, HD 53179, HIC 34042, HIP 34042, HRW 9, IRAS 07013-1128, JP11 1480, PDS 131, PPM 218073, PP 71, RAFGL 1059, SAO 152302, SV* HV 3565, TD1 8976, TYC 5389-1211-1, UBV M 12798, uvby98 100053179 V, YZC 11 2351, C74 76, SEI99 161, AAVSO 0659-11, 
IRAS07015-0346	 NOVA Mon 2002, EQ J0704.0-0350, GSC 04822-00039, IRAS 07015-0346, USNO-A2.0 0825-03833116, V* V838 Mon, WBM2003 1, AAVSO 0659-03, 
IRAS07019+1000	 V* BC Gem, AN 89.1933, CSI+10-07019, GCRV 58320, IRAS 07019+1000, AAVSO 0659+10A, 
IRAS07019-1631	 V* Y CMa, AN 22.1917, IRAS 07019-1631, IRC -20117, SV* HV 3417, LMW2001 354, LTY2003 NIRS 07019-1630, 
IRAS07020-1618	IRAS 07020-1618, 
IRAS07021-0852	 V* HN Mon, IRAS 07021-0852, IRC -10147, RAFGL 1060, SV* SON 4049, 
IRAS07024-1102	 IRAS 07024-1102, 
IRAS07036+3706	 V* ET Aur, AN 44.1939, IRAS 07036+3706, 2MASS J07070330+3701470, AAVSO 0700+37, 
IRAS07042+2822	 V* AM Gem, AN 17.1923, GSC 01908-00195, IRAS 07042+2822, IRC +30176, 2MASS J07072185+2817559, RAFGL 1068S, SV* SVS 31, AAVSO 0701+28, 
IRAS07043+2246	 V* R Gem, AG+22 825, BD+22 1577, CCDM J07073+2241A, CSI+22 1577 1, CSS 307, DO 12788, GC 9390, GCRV 4679, GEN# +1.00053791, GSC 01896-01929, HD 53791, HIC 34356, HIP 34356, HR 2671, IDS 07013+2251 A, IRAS 07043+2246, IRC +20171, JP11 1489, 2MASS J07072127+2242127, PPM 97049, S1* 206, SAO 79070, SKY# 12795, YZ 22 2778, LFO93 0704+22, AAVSO 0701+22A, 
IRAS07046+1706	IRAS 07046+1706, GO Gem, 
IRAS07048+0503	 V* RS Mon, AN 10.1904, CSI+05-07048, GCRV 58373, IRAS 07048+0503, KW97 34-23, M51 30, AAVSO 0702+05, 
IRAS07051+6601	 NSV 3408, GSC 04123-01146, IRAS 07051+6601, IRC +70074, 2MASS J07100587+6556246, RAFGL 1072, 
IRAS07054-1039	IRC -10151, IRAS 07054-1039, GH2O 224.00-01.00, 
IRAS07059+1006	 V* R CMi, BD+10 1428, C* 675, Case 701, CGCS 1561, DO 1956, GC 9432, GCRV 4701, GEN# +1.00054300, HD 54300, HIC 34474, HIP 34474, IRAS 07059+1006, IRC +10154, 2MASS J07084261+1001264, RAFGL 4567S, SAO 96548, SKY# 12844, UBV 21323, KW97 34-24, AAVSO 0703+10, 
IRAS07060-1026	IRAS 07060-1026, 
IRAS07065-1024	IRAS 07065-1024, 
